"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","1990",10.36402,
"AUS","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","1995",10.41745,
"AUS","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2000",10.73562,
"AUS","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2005",10.52515,
"AUS","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2010",10.53559,
"AUS","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2011",10.88267,
"AUS","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2012",10.40148,
"AUS","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2013",9.84329,
"AUS","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2014",9.36117,
"AUS","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2015",9.20277,
"AUS","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2016",8.53581,
"AUS","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2017",8.52437,
"AUT","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","1990",17.41988,
"AUT","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","1995",16.05844,
"AUT","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2000",15.46764,
"AUT","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2005",15.70761,
"AUT","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2010",15.36477,
"AUT","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2011",15.67401,
"AUT","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2012",14.50341,
"AUT","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2013",14.28511,
"AUT","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2014",13.53498,
"AUT","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2015",13.59913,
"AUT","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2016",12.65744,
"AUT","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2017",12.68774,
"BEL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","1990",17.45928,
"BEL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","1995",16.54072,
"BEL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2000",15.97944,
"BEL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2005",15.64455,
"BEL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2010",16.22427,
"BEL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2011",16.01357,
"BEL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2012",14.93425,
"BEL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2013",14.29062,
"BEL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2014",13.44477,
"BEL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2015",13.79065,
"BEL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2016",13.06322,
"BEL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2017",13.09935,
"CAN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","1990",8.23971,
"CAN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","1995",8.13253,
"CAN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2000",8.18316,
"CAN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2005",8.45246,
"CAN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2010",8.37601,
"CAN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2011",8.57013,
"CAN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2012",8.10123,
"CAN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2013",7.75003,
"CAN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2014",7.30653,
"CAN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2015",7.17206,
"CAN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2016",6.48028,
"CAN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2017",6.45931,
"CZE","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","1990",24.90836,
"CZE","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","1995",22.2866,
"CZE","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2000",20.66616,
"CZE","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2005",20.64953,
"CZE","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2010",20.77924,
"CZE","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2011",20.2512,
"CZE","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2012",18.79705,
"CZE","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2013",18.31878,
"CZE","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2014",17.53825,
"CZE","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2015",17.64812,
"CZE","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2016",16.21703,
"CZE","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2017",16.21481,
"DNK","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","1990",12.6183,
"DNK","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","1995",11.98831,
"DNK","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2000",12.54813,
"DNK","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2005",12.27896,
"DNK","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2010",12.30225,
"DNK","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2011",12.95704,
"DNK","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2012",11.38229,
"DNK","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2013",11.02389,
"DNK","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2014",11.32302,
